blind_run_id	task	seq_in_condition	accepted	mu_input	mu_output	mu_cache_creation	mu_cache_read	total_tokens	tokens_uncached	cost_usd	cost_reconciliation_agrees	wall_clock_s	model_calls_parent	tool_use_events	tool_failures	model_used	post_setup_digest_ok
T3_Q	T3	1	yes	602	19448	76403	1629405	1725858	96453	1.2394854999999996	yes	223.47	31	30	0	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T4_Q	T4	2	yes	578	3831	27477	696726	728612	31886	0.4318328	yes	70.87	22	21	5	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T5_Q	T5	3	yes	556	9855	29486	459990	499887	39897	0.46312400000000004	yes	102.07	16	15	0	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T3_R	T3	1	yes	596	21006	64060	1973755	2059417	85662	1.2920744999999998	yes	227.44	41	40	2	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T4_R	T4	2	yes	582	3190	22722	804910	831404	26494	0.426155	yes	69.45	17	16	5	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T5_R	T5	3	yes	582	13717	45268	1342785	1402352	59567	0.8806624999999996	yes	183.34	23	22	5	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T3_P	T3	1	yes	698	61291	206823	2846536	3115348	268812	2.6657170499999996	yes	576.18	7	114	11	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T4_P	T4	2	yes	560	2893	23711	261204	288368	27164	0.2644662	yes	47.01	12	11	0	claude-haiku-4-5-20251001+claude-sonnet-5	yes
T5_P	T5	3	yes	714	65622	195928	3834226	4096490	262264	3.0003593000000004	yes	618.64	5	118	20	claude-haiku-4-5-20251001+claude-sonnet-5	yes
